Date,Open,High,Low,Close,Adj Close,Volume
2020-05-11,1.084011,1.085305,1.080427,1.083952,1.083952,0
2020-05-12,1.080917,1.088045,1.078539,1.080941,1.080941,0
2020-05-13,1.084634,1.089336,1.083142,1.084681,1.084681,0
2020-05-14,1.082193,1.082485,1.077656,1.082368,1.082368,0
2020-05-15,1.080625,1.084952,1.079086,1.080696,1.080696,0
2020-05-18,1.081947,1.091274,1.080089,1.082134,1.082134,0
2020-05-19,1.091584,1.097514,1.090275,1.091512,1.091512,0
2020-05-20,1.093016,1.099904,1.092920,1.092777,1.092777,0
2020-05-21,1.097936,1.100873,1.093948,1.098298,1.098298,0
2020-05-22,1.095242,1.095530,1.088613,1.095290,1.095290,0
2020-05-25,1.090905,1.091465,1.087205,1.090780,1.090780,0
2020-05-26,1.090108,1.099155,1.089835,1.090300,1.090300,0
2020-05-27,1.098056,1.102986,1.093661,1.098177,1.098177,0
2020-05-28,1.101528,1.107187,1.099312,1.101686,1.101686,0
2020-05-29,1.107812,1.114467,1.107040,1.107911,1.107911,0
2020-06-01,1.111457,1.115200,1.110149,1.111852,1.111852,0
2020-06-02,1.112557,1.119570,1.111568,1.112595,1.112595,0
2020-06-03,1.118568,1.124999,1.118105,1.118944,1.118944,0
2020-06-04,1.123722,1.136054,1.119595,1.123595,1.123595,0
2020-06-05,1.133723,1.138395,1.128566,1.133787,1.133787,0
2020-06-08,1.131606,1.131875,1.126951,1.131952,1.131952,0
2020-06-09,1.130288,1.136338,1.124366,1.130557,1.130557,0
2020-06-10,1.133414,1.138887,1.133414,1.133222,1.133222,0
2020-06-11,1.136868,1.140017,1.132605,1.136544,1.136544,0
2020-06-12,1.128936,1.133980,1.123469,1.128808,1.128808,0
2020-06-15,1.125416,1.129203,1.122876,1.125201,1.125201,0
2020-06-16,1.133800,1.134984,1.123166,1.133774,1.133774,0
2020-06-17,1.126494,1.129688,1.121026,1.126570,1.126570,0
2020-06-18,1.124126,1.126253,1.120461,1.124290,1.124290,0
2020-06-19,1.120724,1.125300,1.117393,1.121100,1.121100,0
2020-06-22,1.117943,1.126773,1.117556,1.117756,1.117756,0
2020-06-23,1.127714,1.134900,1.123431,1.127968,1.127968,0
2020-06-24,1.131363,1.132631,1.125987,1.131235,1.131235,0
2020-06-25,1.125138,1.125999,1.119144,1.125087,1.125087,0
